,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1756,1756,Embedded Software Developer,0.0,Proficient Vision Solutions,0,0,Kharagpur,"('Maven', 'C++', 'Linux', 'Eclipse', 'Configuration management', 'SOC', 'Windows', 'MATLAB')",30+ Days,0
1757,1757,Super Intern,3.8,Athena Executive Search &amp;amp; Consulting Pvt. Ltd.,6,0,Gurgaon/Gurugram,"('Process automation', 'Data analysis', 'Process improvement', 'Social media', 'Trend analysis', 'Data mining', 'Digital marketing', 'Internship')",30+ Days,0
1758,1758,Research Associate,4.8,Sandbox Startups,3,0,Hubli,"('Data analysis', 'Literature', 'Networking', 'Data management', 'Analytical', 'Manager Technology', 'Data processing', 'Data quality')",30+ Days,0
1759,1759,Manager HR,3.5,Husys Consulting,27,0,Kochi,"('Training', 'Data analysis', 'Employee retention', 'Compliance', 'Performance management system', 'Recruitment', 'Employee relations', 'management')",30+ Days,0
1760,1760,Associate - Academics,4.0,Aster MIMS,126,0,Calicut/Kozhikode,"('Data analysis', 'Interpersonal skills', 'Curriculum development', 'Manager Program Management', 'Management Student', 'Academics', 'Management', 'Student Recruitment')",30+ Days,0
1761,1761,Machine Learning expert,0.0,Ficusroot,0,0,Hyderabad,"('data science', 'Machine learning', 'machine', 'data', 'science')",30+ Days,0
1762,1762,Cyber Security Engineer,2.6,Kloudone,29,0,Chennai,"('Data analysis', 'cyber security', 'Cloud', 'Vulnerability', 'New product development', 'System monitoring', 'Monitoring', 'Computer networking')",30+ Days,0
1763,1763,PHP Developer,0.0,Oob Smarthome India,0,0,Ahmedabad,"('C++', 'jQuery', 'Database management', 'html5', 'MySQL', 'Javascript', 'Infrastructure', 'PHP')",30+ Days,0
1764,1764,Genomics Application Specialist  (GASp)  -(Sequencing & Consumables),3.0,Xcelris,12,0,Jaipur,"('Help Desk', 'data analysis', 'customer relationship', 'Customer', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1765,1765,Genomics Application Specialist  (GASp)  -(Sequencing & Consumables),3.0,Xcelris,12,0,Coimbatore,"('Help Desk', 'data analysis', 'customer relationship', 'Customer', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1766,1766,Genomics Application Specialist  (GASp)  -(Sequencing & Consumables),3.0,Xcelris,12,0,Mumbai,"('Help Desk', 'data analysis', 'customer relationship', 'Customer', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
1767,1767,Genomics Application Specialist  (GASp)  -(Sequencing & Consumables),3.0,Xcelris,12,0,Hyderabad/Secunderabad,"('Help Desk', 'data analysis', 'customer relationship', 'Customer', 'access controls', 'Telephony support', 'Vendor Management', 'Information')",30+ Days,0
